Name                       ,ID                               ,Short Description                                          ,Tier
Game Suggestion App        ,Game-Suggestion-App              ,Create polls to decide what games to play                  ,2-Intermediate
GitHub Profiles            ,GitHub-Profiles                  ,A GitHub user search App                                   ,2-Intermediate
HighStriker Game           ,HighStriker-Game                 ,Highstriker strongman carnival game                        ,2-Intermediate
Image Scanner              ,Image-Scaner                     ,Image Scanner App                                          ,2-Intermediate
Markdown Previewer         ,Markdown-Previewer               ,Preview text formatted in GitHub flavored markdown         ,2-Intermediate
Markdown Table Generator   ,Markdown-Table-Generator         ,Convert a table into Markdown-formatted text               ,2-Intermediate
Math Editor                ,math-editor                      ,A math editor for students to use                          ,2-Intermediate
Meme Generator App         ,Meme-Generator-App               ,Create custom memes                                        ,2-Intermediate
Name Generation using RNNs ,Name-Generator                   ,Generate names using names dataset                         ,2-Intermediate
Password Generator         ,Password-Generator               ,Generate random passwords                                  ,2-Intermediate
Podcast Directory          ,Podcast-Directory-App            ,Directory of favorite podcasts                             ,2-Intermediate
QR Code Badge Generator    ,QRCode-Badge-App                 ,Encode badge info in a QRcode                              ,2-Intermediate
Regular Expression Helper  ,RegExp-Helper-App                ,Test Regular Expressions                                   ,2-Intermediate
Sales Reciepts App         ,Sales-DB-App                     ,Record Sales Receipts in a DB                              ,2-Intermediate
Simple Online Store        ,Simple-Online-Store              ,Simple Online Store                                        ,2-Intermediate
Sports Bracket Generator   ,Sports-Bracket-Generator         ,Generate a sports bracket diagram                          ,2-Intermediate
String Art                 ,String-Art                       ,An animation of colored strings                            ,2-Intermediate
This or That Game          ,This-or-That-Game                ,This or That Game                                          ,2-Intermediate
Timezone Slackbot          ,Timezone-Slackbot                ,Display Team Timezones                                     ,2-Intermediate
To-Do App                  ,To-Do-App                        ,Manage personal to-do tasks                                ,2-Intermediate
Typing Practice            ,Typing-Practice-App              ,Typing Practice                                            ,2-Intermediate
Voting App                 ,Voting-App                       ,Voting App                                                 ,2-Intermediate
